size_Z,m_Z
2.288381811,0.085727153
2.19708449,0.093649265
2.351344735,0.101348738
2.516435798,0.118664374
3.679724668,0.135076924
4.510492537,0.146267222
4.827180258,0.127480539
4.572122714,0.095810149
5.917008063,0.090416784
5.454296004,0.083542967
5.917008063,0.149347437
6.685707122,0.178380567
7.058671749,0.166545829
7.058671749,0.158549997
6.963523998,0.153929032
5.380774524,0.140727974
8.307108862,0.129040162
7.554270545,0.134166041
6.963523998,0.143683205
6.963523998,0.127680318
7.058671749,0.115721513
6.685707122,0.10693634
6.595586769,0.098835302
6.777058857,0.089583377
6.869658797,0.080397782
8.420615,0.095119915
7.975688301,0.087038053
9.644570847,0.078945386
8.535672057,0.072930976
7.868179575,0.067386495
7.975688301,0.045912547
9.909933197,0.047332005
9.909933197,0.041240683
9.909933197,0.033873164
10.18259677,0.031312526
10.32172908,0.053800464
9.259790879,0.061113911
9.514566328,0.068108137
10.75063667,0.077442835
8.770523979,0.08454053
9.776351712,0.088845204
11.35036488,0.099064853
8.770523979,0.108119138
9.776351712,0.117028627
10.32172908,0.134345128
9.259790879,0.151113224
9.514566328,0.154134499
10.89753053,0.163603562
13.54037363,0.146955962
15.0932208,0.152926493
14.29572834,0.135862602
15.93520166,0.121981195
14.10302829,0.113802463
13.91292576,0.102121675
13.72538571,0.090742489
13.54037363,0.079059933
13.54037363,0.070949264
11.50545327,0.119437683
12.31326655,0.135775954
11.50545327,0.149772462
24.93771065,0.164183384
24.93771065,0.151754357
26.32886999,0.132255231
27.05328697,0.115248206
25.27845293,0.105450028
24.60156142,0.097455934
21.77296053,0.084038644
25.62385103,0.074730732
26.32886999,0.06707197
25.97396855,0.062603894
24.93771065,0.057288077
24.60156142,0.050904597
28.95273447,0.048019566
35.48936525,0.039475347
34.07348091,0.043123295
39.02614009,0.056835794
40.64782649,0.06588705
37.98112112,0.083413861
35.01098442,0.106641122
34.07348091,0.139078163
33.61418557,0.156500529
35.97428256,0.144695063
34.07348091,0.123588168
38.50008511,0.116563494
36.96408504,0.100550545
31.40892302,0.085002678
32.27311343,0.077807497
34.07348091,0.066488437
34.53905195,0.055699107
28.95273447,0.078540461
24.93771065,0.096507257
33.16108132,0.109810651
32.27311343,0.124781341
15.0932208,0.167087618
18.00539903,0.156083566
60.2505072,0.152327518
59.43835721,0.134028644
61.0737542,0.120292749
61.0737542,0.114517519
61.90824983,0.103791568
61.90824983,0.097841037
67.16020054,0.086122498
69.95096549,0.080403999
66.25491096,0.067337009
67.16020054,0.062243066
67.16020054,0.056409979
68.07785976,0.051632076
65.36182428,0.047247897
66.25491096,0.04410554
68.07785976,0.039585394
65.36182428,0.028047022
69.00805764,0.025424503
85.74372712,0.06807786
122.023649,0.106161847
128.830783,0.097186888
123.6909478,0.089814009
147.556635,0.091668163
141.6697129,0.101129534
164.4788344,0.089923462
171.3135633,0.081510497
153.6881814,0.076801732
143.6054504,0.072377579
157.9167839,0.064342556
173.6543466,0.068283481
171.3135633,0.063110618
178.4323016,0.057771874
176.0271136,0.053395325
173.6543466,0.050331169
169.0043328,0.047909222
147.556635,0.050793515
139.7600683,0.04212219
173.6543466,0.102218458
183.341718,0.091753266
193.5695031,0.079180769
204.3678489,0.069006724
204.3678489,0.05895428
196.2143856,0.050357447
201.6130613,0.048898279
240.5135171,0.093685481
240.5135171,0.088314348
240.5135171,0.080829469
294.8140206,0.107616575
294.8140206,0.10346302
315.5133078,0.091966368
315.5133078,0.085004321
324.1943942,0.078578429
315.5133078,0.063901254
298.8422814,0.060819256
307.0646784,0.034037271
247.1310466,0.047051922
21.77296053,0.038247116
17.05403351,0.038207209
21.18993702,0.063792635
436.9900141,0.107797728
425.288553,0.099625657
455.1486319,0.092110492
436.9900141,0.081035998
436.9900141,0.067882043
337.6659197,0.118813581
351.6972389,0.113129047
514.2785708,0.092158584
605.2368243,0.078788344
793.9689823,0.107014927
849.7146078,0.099920769
762.2927819,0.089628416
793.9689823,0.080447534
793.9689823,0.067389101
1259.495046,0.100088968
1276.704453,0.092517388
1294.149005,0.082217923
1259.495046,0.075985039
1768.252189,0.070334718
2921.58725,0.082504523
2805.027553,0.074027597
2921.58725,0.064511947
8890.362099,0.051691001
8890.362099,0.045933854
9011.837656,0.042043275
9386.314213,0.03848669
9514.566328,0.034881946
9134.973023,0.026738715
