Species,Length,N,C,DW
Euchaeta Plana,17.94788761,14.3059803,56.87398143,131.3854312
Euchaeta Plana,18.4402879,16.4231789,68.99681971,144.0479044
Euchaeta Plana,18.61289655,18.85371008,77.05143898,174.752093
Euchaeta Plana,21.00034401,19.74134288,89.27221862,182.9794226
Euchaeta Plana,21.24399218,19.20387062,95.21122259,177.9976763
Euchaeta Plana,22.16840884,43.55423634,163.8515568,358.1857555
Euchaeta Plana,22.68587369,44.36314741,169.9943416,382.0147434
Euchaeta Plana,22.90838014,42.36844094,177.9976763,389.1097124
Euchaeta Plana,23.00050335,41.21492967,159.3905804,368.2105525
Euchaeta Plana,23.09208173,37.93943006,160.8639118,358.1857555
Euchaeta Plana,22.81716571,36.56848,140.1260966,332.7672084
Euchaeta Plana,22.79716091,33.04845807,145.3794154,314.8942157
Euchaeta Plana,22.55648093,30.98698971,106.3260849,257.1895203
Euchaeta Plana,22.72620702,28.78800707,112.3610174,257.1895203
Euchaeta Plana,22.76734682,27.74774579,113.3996297,281.9765563
Euchaeta Plana,23.01040171,26.50011998,118.738485,281.9765563
Euchaeta Plana,22.96998954,31.56249558,124.3286936,264.3876646
Euchaeta Plana,23.11294222,30.42197752,118.738485,279.3939701
Euchaeta Plana,23.21539905,32.44585738,123.1899835,266.8315396
Euchaeta Plana,23.29832427,31.56249558,118.738485,269.2980046
Centrophages abdominalis,3.256978633,0.047779905,0.194204799,0.431998442
Centrophages abdominalis,4.135792392,0.078745622,0.266586759,0.629892225
Centrophages abdominalis,5.697982003,0.352508677,1.359520449,2.97890466
Centrophages abdominalis,6.194375144,0.30943258,1.134408291,2.561786761
Centrophages abdominalis,6.933324098,0.532617086,2.170091208,4.900626141
Centrophages abdominalis,6.971187083,0.580966303,1.982301964,4.683790747
Centrophages abdominalis,7.02783242,0.544313438,1.952623216,4.409527278
Centrophages abdominalis,7.629722659,0.568482344,2.074072338,6.238402261
Centrophages abdominalis,7.723024338,0.721922481,2.721124595,6.052999665
Centrophages abdominalis,8.558769129,1.269911877,4.409527278,8.959960182
Centrophages abdominalis,8.53977364,0.957485213,3.735313385,10.10920448
Centrophages abdominalis,8.981322925,1.005445398,3.679388794,8.184608372
Centrophages abdominalis,8.926068236,0.904688254,3.116812607,7.589988015
Centrophages abdominalis,9.597399347,1.204966139,4.544590527,12.29942181
Centrophages abdominalis,9.612171854,1.533898581,5.284554556,11.06687889
Centrophages abdominalis,10.2873806,1.401162384,4.683790747,11.75521585
Centrophages abdominalis,10.33510493,1.279912538,4.975112836,11.93388836
Centrophages abdominalis,10.28752718,1.756948008,6.527208164,13.26299205
Centrophages abdominalis,10.97604721,2.170091208,7.705351462,15.89490226
Centrophages abdominalis,11.74248142,1.783652605,7.038567449,33.28699825
Centrophages abdominalis,12.47553832,3.624301499,12.67615151,30.4065017
Centrophages abdominalis,12.66974388,3.570038963,13.66923578,28.19743756
Centrophages abdominalis,12.66974388,2.97890466,11.5792184,30.29
Oithana similis,3.018520511,0.043135165,0.209037749,0.48461099
Oithana similis,3.052987941,0.049731231,0.234847811,0.503787272
Oithana similis,3.212350327,0.060380802,0.223005003,0.503787272
Oithana similis,3.320854334,0.051034653,0.231829415,0.530541183
Oithana similis,3.344818984,0.042580767,0.267279895,0.558715875
Oithana similis,3.257047648,0.057335944,0.244140848,0.530541183
Sinocalanus lenellus,4.313204753,0.089611826,0.338278304,0.669372191
Sinocalanus lenellus,4.313181435,0.07555565,0.3068543,0.57129711
Sinocalanus lenellus,5.29020432,0.130749583,0.505748511,1.01302666
Sinocalanus lenellus,5.290232958,0.117167089,0.42641869,0.941595612
Sinocalanus lenellus,5.946067764,0.205244603,0.813488708,1.514542074
Sinocalanus lenellus,6.410732054,0.229037407,0.896795583,1.774544855
Sinocalanus lenellus,7.263628346,0.355177226,1.460168981,2.685592965
Sinocalanus lenellus,7.737007437,0.3068543,1.276976668,2.406608895
Sinocalanus lenellus,9.078117812,0.720151906,2.854328131,5.579620707
Sinocalanus lenellus,9.734985357,0.86460001,3.185213669,5.061307757
Sinocalanus lenellus,9.708866407,0.813488708,2.92475425,5.930186947
Sinocalanus lenellus,9.774348833,0.728982085,2.751855805,6.380061033
Sinocalanus lenellus,10.6517308,0.918922622,3.185213669,6.537479141
Sinocalanus lenellus,10.6517308,0.854127086,3.033664888,6.151012491
Sinocalanus lenellus,10.69480107,0.803634897,2.819753578,5.930186947
Tertanus,6.329726195,0.82416946,3.083757947,7.488869473
Tertanus,6.489065138,0.892478888,3.784460435,8.781710769
Tertanus,7.262274141,0.656466275,2.629767862,16.98677802
Tertanus,7.654201598,1.54073442,6.608060456,16.60468349
Tertanus,7.929478039,1.848294038,7.237617819,13.8416328
Tertanus,8.031237535,1.594220537,6.314125187,14.48598874
Tertanus,8.099449764,1.50607769,5.830848454,14.48598874
Tertanus,8.371051961,1.687521924,7.074817425,13.99998366
Tertanus,8.466222389,1.66843472,6.459421101,13.99998366
Tertanus,8.611042402,1.523307499,6.837457222,25.00794335
Tertanus,9.338084055,2.094658924,8.109567541,28.99349967
Tertanus,10.35836319,3.37755104,13.37724587,30.69033751
Tertanus,10.89693154,3.915836803,13.68507302,29.3251907
Tertanus,11.07946188,3.575221431,13.07634287,31.39656054
Tertanus,9.844533205,3.960634705,14.48598874,6.172097507
Acartia clausi,3.185387416,0.04546427,0.171616599,0.412027033
Acartia clausi,3.268221766,0.058269422,0.226468945,0.483792971
Acartia clausi,3.69209388,0.064538191,0.233177981,0.559827151
Acartia clausi,4.218039475,0.079171515,0.350906867,0.629172134
Acartia clausi,4.218039475,0.095715369,0.303247664,0.667002161
Acartia clausi,4.842108861,0.122673898,0.476782288,1.111751315
Acartia clausi,5.072765853,0.174140077,0.602214431,1.267834644
Acartia clausi,5.72159392,0.181935334,0.707106781,1.853053947
Acartia clausi,5.742725077,0.254521328,0.933113275,2.669156699
Acartia clausi,6.075604039,0.326208044,1.267834644,2.829644209
Acartia clausi,6.230890864,0.436800847,1.488663219,3.043890559
Acartia clausi,6.392176587,0.372005729,1.286477086,3.522276431
Acartia clausi,6.528173657,0.350906867,1.60137727,3.322505247
Acartia clausi,6.760648465,0.394373196,1.424879497,4.07584669
Acartia clausi,7.140133846,0.312231233,1.249462351,4.38444919
Acartia clausi,7.278434823,0.312231233,1.424879497,5.148122649
Acartia clausi,7.749447335,0.418085543,1.880301547,5.073520794
Acartia clausi,7.687459038,0.593487694,2.306639196,5.785813194
Acartia clausi,7.361078999,0.535840624,2.273213504,6.22388571
Acartia clausi,7.574009204,0.535840624,2.340556385,7.307948068
Acartia clausi,7.757019057,0.568058938,2.592359275,8.21317308
Acartia clausi,8.128437202,0.620054751,2.871251747,7.976862287
Acartia clausi,8.170771782,0.707106781,3.274358559,7.524442593
Acartia clausi,8.35625116,0.749622759,3.844678939,9.366254146
Acartia clausi,8.35942468,0.686761786,3.844678939,10.68122099
Acartia clausi,8.819310671,0.842477451,4.785768462,10.68122099
Acartia clausi,8.172312724,0.86743545,4.514336435,2.78863961
Acartia clausi,8.197466073,1.003763894,4.38444919,2.913471088
Acartia clausi,8.420928398,0.880190358,3.844678939,2.871251747
Acartia clausi,8.915336373,0.749622759,3.574068543,7.635083191
Acartia clausi,8.06364051,0.728054487,3.134064385,4.856139161
Acartia clausi,8.317004728,0.946833921,2.871251747,4.580715954
Acartia clausi,8.128997159,0.86743545,2.78863961,4.258299082
Acartia clausi,7.75781495,1.161518076,2.481286252,1.404231455
Acartia clausi,8.59288494,1.267834644,1.826201195,3.958575745
Acartia clausi,8.57780863,1.249462351,1.424879497,5.785813194
Acartia Insuensis,3.132864955,0.027366306,0.107610757,0.218672415
Acartia Insuensis,3.734540328,0.040965897,0.167105142,0.343745806
Acartia Insuensis,3.941875937,0.054934505,0.205706301,0.379063229
Acartia Insuensis,4.457536564,0.06845612,0.256338983,0.444357295
Acartia Insuensis,4.561185001,0.071886842,0.256338983,0.43362444
Acartia Insuensis,4.555018069,0.06361457,0.30049366,0.673360873
Acartia Insuensis,5.715715958,0.137417269,0.641225452,1.111548479
