Taxon,Life form,Temperature (°C),Body mass (mg),Body mass type,Fmax,Fmax (15°C),Specific Fmax (15°C),Reference key,Comment
Acartia (Acanthacartia) tonsa,F,18,0.003,carbon mass,7.645833333,5.614064753,1871.354918,Kiørboe2014,FR
Acartia (Acanthacartia) tonsa,F,18,0.002484,carbon mass,0.16978209,0.124664978,50.18718936,Kiørboe2014,FR
Acartia (Acanthacartia) tonsa,?,17,2.11632E-05,carbon mass,0.007962304,0.00648048,306.2145035,Kiørboe2014,Fmax
Acartia (Acanthacartia) tonsa,?,17,3.81413E-05,carbon mass,0.025179016,0.020493076,537.2937679,Kiørboe2014,Fmax
Acartia (Acanthacartia) tonsa,?,17,0.000111304,carbon mass,0.091947253,0.074835412,672.3501779,Kiørboe2014,Fmax
Acartia (Acanthacartia) tonsa,?,17,0.000291821,carbon mass,0.134045255,0.109098766,373.8550897,Kiørboe2014,Fmax
Acartia (Acanthacartia) tonsa,?,17,0.000447881,carbon mass,0.261996941,0.213238007,476.1041589,Kiørboe2014,Fmax
Acartia (Acanthacartia) tonsa,?,17,0.00061054,carbon mass,0.378763953,0.308274097,504.9202028,Kiørboe2014,Fmax
Acartia (Acanthacartia) tonsa,?,17,0.000946652,carbon mass,0.653213318,0.531647069,561.6075634,Kiørboe2014,Fmax
Acartia (Acanthacartia) tonsa,?,17,0.001245197,carbon mass,0.956611294,0.778581173,625.2674233,Kiørboe2014,Fmax
Acartia (Acanthacartia) tonsa,?,17,0.001245197,carbon mass,1.256257591,1.022461803,821.1244758,Kiørboe2014,Fmax
Acartia (Acanthacartia) tonsa,?,17,0.001637894,carbon mass,1.126526522,0.916874332,559.7886652,Kiørboe2014,Fmax
Acartia (Acanthacartia) tonsa,?,17,0.001901384,carbon mass,1.018647802,0.829072378,436.0363331,Kiørboe2014,Fmax
Acartia (Acanthacartia) tonsa,?,17,0.003528735,carbon mass,3.350535333,2.726984038,772.7936559,Kiørboe2014,Fmax
Acartia (Acartiura) clausi,?,15,0.005,carbon mass,0.62436144,0.62436144,124.872288,Kiørboe2014,FR
Acartia (Acartiura) hudsonica,?,4.5,0.00679,carbon mass,0.93,2.741567111,403.7654066,Kiørboe2014,FR
