Taxon,Temperature (°C),Body mass (mg),Body mass type,Growth,Specific growth,Growth (15°C),Specific growth (15°C),Reference key
Acartia (Acanthacartia) tonsa,17,0.00021,carbon mass,3.9375E-06,0.01875,3.20471E-06,0.015260532,Kiørboe2014
Acartia (Acartiura) clausi,15,0.000132,carbon mass,0.000001364,0.010333333,0.000001364,0.010333333,Kiørboe2014
Acartia (Acartiura) clausi,15,0.001131,carbon mass,1.45145E-05,0.012833333,1.45145E-05,0.012833333,Kiørboe2014
Acartia (Acartiura) omorii,20,,,,0.02125,,0.012699304,Kiørboe2014
Acartia (Acartiura) omorii,20,,,,0.025833333,,0.01543837,Kiørboe2014
Acartia (Acartiura) tranteri,12.2,0.0006,carbon mass,0.00000335,0.005583333,4.4694E-06,0.007448997,Kiørboe2014
Acartia (Acartiura) tranteri,15.8,0.0006,carbon mass,0.00000515,0.008583333,4.7428E-06,0.007904663,Kiørboe2014
Acartia (Acartiura) tranteri,20.8,0.0006,carbon mass,0.00000765,0.01275,4.21027E-06,0.007017114,Kiørboe2014
Calanus chilensis,13,0.00399,carbon mass,2.29425E-05,0.00575,2.81885E-05,0.007064793,Kiørboe2014
Calanus chilensis,18,0.00399,carbon mass,2.62675E-05,0.006583333,1.92873E-05,0.004833909,Kiørboe2014
Calanus finmarchicus,8,0.00047,carbon mass,4.91542E-06,0.010458333,1.01058E-05,0.021501715,Kiørboe2014
Calanus finmarchicus,8,0.0255,carbon mass,0.000210375,0.00825,0.000432519,0.016961512,Kiørboe2014
Calanus glacialis,10,0.0656,carbon mass,0.000125733,0.001916667,0.000210392,0.003207197,Kiørboe2014
Calanus glacialis,3,0.0594,carbon mass,0.000131175,0.002208333,0.000451274,0.007597212,Kiørboe2014
Calanus helgolandicus,15,0.000669,carbon mass,1.14288E-05,0.017083333,1.14288E-05,0.017083333,Kiørboe2014
Calanus helgolandicus,15,0.002503,carbon mass,4.27596E-05,0.017083333,4.27596E-05,0.017083333,Kiørboe2014
Calanus helgolandicus,15,0.014607,carbon mass,0.000200846,0.01375,0.000200846,0.01375,Kiørboe2014
